sampleID,assayer,box,genotype,sex
407,RC,1,381,female
408,LH,1,381,male
890,LH,2,324,female
414,RC,1,502,female
658,LH,2,440,male
409,LH,1,440,male
417,RC,1,853,female
418,RC,1,913,female
420,LH,1,913,male
423,RC,1,309,male
426,RC,1,309,male
430,LH,1,309,female
433,LH,1,309,female
435,RC,1,309,male
439,LH,1,309,female
443,LH,1,320,female
445,LH,1,358,female
447,RC,1,31,male
448,LH,1,42,female
449,RC,1,42,male
691,LH,2,83,female
455,LH,1,303,female
883,LH,2,177,female
467,RC,1,320,male
468,LH,1,502,male
469,RC,1,531,female
476,LH,1,375,male
477,RC,1,375,female
899,LH,2,373,male
649,LH,2,31,female
486,RC,1,913,female
602,LH,1,513,male
493,RC,1,303,male
496,RC,1,913,female
501,LH,1,303,female
504,LH,1,303,female
511,RC,1,320,male
512,LH,1,320,female
515,LH,1,320,female
521,RC,1,320,male
524,LH,1,306,female
528,RC,1,306,male
531,LH,1,381,male
535,RC,1,381,female
539,LH,1,319,female
544,LH,1,381,male
549,RC,1,319,male
552,LH,1,57,female
553,RC,1,57,male
558,RC,1,853,female
559,LH,1,235,female
561,LH,1,235,female
854,LH,2,776,male
781,LH,2,566,male
415,LH,1,531,male
573,LH,1,235,female
584,LH,1,358,female
586,RC,1,358,male
587,LH,1,566,male
588,RC,1,566,female
591,RC,1,373,female
734,LH,2,531,male
592,LH,1,373,male
479,LH,1,913,male
604,RC,1,535,female
605,RC,1,776,female
606,LH,1,776,male
611,RC,1,440,female
614,LH,1,440,male
617,RC,1,177,male
621,LH,2,177,female
625,LH,2,566,male
634,LH,2,138,female
637,RC,2,440,female
647,LH,2,531,male
603,LH,1,535,male
655,RC,2,535,female
656,RC,2,406,female
903,LH,2,406,male
571,LH,1,853,male
662,LH,2,138,female
657,LH,2,406,male
672,RC,2,57,male
673,LH,2,319,female
674,RC,2,319,male
677,RC,2,440,female
679,LH,2,406,male
680,LH,2,208,female
482,LH,1,913,male
683,LH,2,57,female
688,RC,2,373,female
689,LH,2,57,female
690,LH,2,373,male
416,LH,1,853,male
699,LH,2,502,male
701,RC,2,853,female
704,RC,2,776,female
707,LH,2,853,male
708,RC,2,502,female
715,RC,2,566,female
718,RC,2,306,male
721,LH,2,306,female
725,RC,2,513,female
882,RC,2,177,male
735,LH,2,177,female
737,RC,2,177,male
741,RC,2,235,male
749,RC,2,381,female
564,RC,1,235,male
783,RC,2,566,female
788,RC,2,406,female
792,RC,2,324,male
793,LH,2,324,female
796,LH,2,83,female
798,LH,2,208,female
804,RC,2,57,male
814,RC,2,373,female
841,RC,2,531,female
847,LH,2,319,female
852,RC,2,83,male
663,RC,2,138,male
860,LH,2,83,female
862,RC,2,208,male
866,LH,2,513,male
868,RC,2,513,female
870,LH,2,879,male
871,RC,2,879,female
873,RC,2,513,female
874,LH,2,138,female
877,LH,2,513,male
681,RC,2,208,male
450,RC,1,138,male
567,RC,1,235,male
891,RC,2,324,male
894,RC,2,31,male
896,LH,2,535,male
457,RC,1,303,male
490,RC,1,303,male
906,RC,2,406,female
909,RC,2,83,male
917,LH,2,31,female
