"sampleID","sex","genotype","absn5","massn5"
407,"female",381,0.46,NA
408,"male",381,0.287,2.67
409,"male",440,0.322,3
414,"female",502,0.543,NA
416,"male",853,0.296,3.28
417,"female",853,0.602,NA
418,"female",913,0.711,4.8
420,"male",913,0.425,3.62
423,"male",309,0.284,3.14
426,"male",309,0.376,3.13
430,"female",309,0.639,4.7
433,"female",309,0.704,4.43
435,"male",309,0.422,3.35
439,"female",309,0.758,4.58
443,"female",320,0.678,4.36
445,"female",358,0.456,3.7
447,"male",31,0.47,NA
448,"female",42,0.306,NA
449,"male",42,0.186,NA
450,"male",138,0.373,NA
455,"female",303,0.472,4.74
457,"male",303,0.279,3.23
467,"male",320,0.414,2.65
468,"male",502,0.257,2.74
469,"female",531,0.611,4.92
476,"male",375,0.424,NA
477,"female",375,0.638,NA
479,"male",913,0.54,3.36
482,"male",913,0.526,4.17
486,"female",913,0.896,4.93
490,"male",303,0.372,3.37
493,"male",303,0.32,3.29
496,"female",913,0.891,5.15
501,"female",303,0.446,4.89
504,"female",303,0.538,4.59
511,"male",320,0.452,3.15
512,"female",320,0.706,4.7
515,"female",320,0.603,4.51
521,"male",320,0.419,3.09
524,"female",306,0.513,NA
528,"male",306,0.36,3.08
531,"male",381,0.292,2.63
535,"female",381,0.502,3.66
539,"female",319,0.402,4.12
544,"male",381,0.252,2.84
549,"male",319,0.23,2.92
552,"female",57,0.296,3.12
553,"male",57,0.147,2.37
558,"female",853,0.795,NA
559,"female",235,0.641,4.06
561,"female",235,0.559,4.31
564,"male",235,0.32,3.11
567,"male",235,0.316,NA
571,"male",853,0.542,3.24
573,"female",235,0.656,NA
584,"female",358,0.468,3.62
586,"male",358,0.276,2.71
587,"male",566,0.42,2.62
588,"female",566,0.791,3.58
591,"female",373,0.568,4.22
592,"male",373,0.264,3.19
602,"male",513,0.184,2.88
603,"male",535,0.241,NA
604,"female",535,0.727,4.66
605,"female",776,0.484,NA
606,"male",776,0.352,NA
611,"female",440,0.61,4.82
614,"male",440,0.357,3.24
617,"male",177,0.174,NA
621,"female",177,0.432,3.83
625,"male",566,0.404,NA
634,"female",138,0.53,3.65
637,"female",440,0.379,NA
647,"male",531,0.2,NA
649,"female",31,0.308,NA
655,"female",535,0.721,4.79
656,"female",406,0.512,NA
657,"male",406,0.212,NA
658,"male",440,0.258,3
662,"female",138,0.574,3.76
663,"male",138,0.328,2.87
672,"male",57,0.129,2.41
673,"female",319,0.343,4.08
674,"male",319,0.209,2.94
677,"female",440,0.601,4.34
679,"male",406,0.117,3.06
680,"female",208,0.329,NA
681,"male",208,0.199,2.72
683,"female",57,0.353,3.22
688,"female",373,0.476,4.15
689,"female",57,0.325,NA
690,"male",373,0.339,3.05
691,"female",83,0.339,3.43
699,"male",502,0.322,2.75
701,"female",853,0.73,4.46
702,"male",776,0.381,3
704,"female",776,0.489,3.82
707,"male",853,0.486,3.29
708,"female",502,0.46,3.86
715,"female",566,0.688,4.2
718,"male",306,0.404,3.26
721,"female",306,0.478,4.56
725,"female",513,0.322,4.1
734,"male",531,0.241,3.7
735,"female",177,0.475,3.79
737,"male",177,0.181,2.59
741,"male",235,0.377,3.11
749,"female",381,0.372,3.41
781,"male",566,0.405,2.61
783,"female",566,0.628,3.5
788,"female",406,0.492,4.58
792,"male",324,0.241,2.55
793,"female",324,0.299,3.02
796,"female",83,0.467,3.31
798,"female",208,0.362,NA
804,"male",57,0.157,NA
814,"female",373,0.57,NA
841,"female",531,0.605,5.03
847,"female",319,0.39,3.9
852,"male",83,0.314,2.69
854,"male",776,0.206,2.45
860,"female",83,0.444,3.31
862,"male",208,0.227,2.55
866,"male",513,0.18,2.84
868,"female",513,0.392,4.43
870,"male",879,0.252,2.83
871,"female",879,0.377,3.68
873,"female",513,0.405,3.96
874,"female",138,0.512,3.87
877,"male",513,NA,2.54
882,"male",177,0.156,2.37
883,"female",177,0.226,3.48
890,"female",324,0.358,2.81
891,"male",324,0.261,2.36
894,"male",31,0.525,NA
896,"male",535,0.307,3.14
899,"male",373,0.326,NA
903,"male",406,0.242,2.94
906,"female",406,0.345,4.17
909,"male",83,0.334,2.48
917,"female",31,0.626,3.93
