"","COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","1-Methyladenosine","AIC_int",0.819713887985301,0.695902943589665,0.176903614880939,2.60785474214864e-08,0.000563364900137132,0.00641821090207376,0.450105246732794,0.246658336950942,0.324328752033779,7.90906766061472e-08,0.00179693976767878
"2","1-Methylnicotinamide","AIC_int",0.71276932175342,0.515514518620226,0.199371766645285,0.251080922252949,0.029037438797299,0.00954005198040809,0.192950045111755,0.27659662144543,0.349200068260146,0.2700579687023,0.0400890013246293
"3","1/3-Methylhistidine","AIC_int",0.84201577050948,0.733520576762978,0.0624745265024588,6.55220934214537e-06,7.17803551597099e-06,0.0125128348718046,0.339044502861033,0.337187277977114,0.175191168927679,1.44304610511535e-05,4.57909162225736e-05
"4","2'-Deoxycytidine","AIC_geno",0.744424193400582,0.568908278025078,0.939044731360976,1.35224738570738e-07,0.117804847628171,2.38867601866529e-05,0.486369342576159,0.160239822841882,0.966461585187186,3.57379666222664e-07,0.137936055767163
"5","2-Aminoadipate","AIC_int",0.8953787128371,0.823530359002338,0.136263117721145,1.80326944939655e-18,0.00217449360034491,0.00479603961020035,0.683369195324819,0.134891909244036,0.27288571368847,2.78004040115301e-17,0.00496643600078775
"6","2-Aminoisobutyric Acid","AIC_int",0.795979949707053,0.655869794686596,0.120214131619055,2.3932721137879e-06,0.00909353421158534,0.00972869576603469,0.40455909295186,0.218818836452027,0.255627751143968,5.46611532161434e-06,0.0155768873068823
"7","2-Hydroxyglutarate","AIC_int",0.692878718758721,0.481964103930373,0.0143895464560592,0.000421721971496699,0.0173181202237179,0.0292304369817461,0.341021626000735,0.241539255740508,0.0778600895954496,0.000666825339546063,0.0273183823527761
"8","2-Hydroxyisobutyrate/2-Hydroxybutyrate","AIC_sex_geno",0.609620970579252,0.341529347965003,0.991065410754356,0.00309270267203974,0.398751724709694,7.17157905937741e-07,0.350491657477713,0.169603408208209,0.991065410754356,0.0045051180655697,0.421537537550248
"9","2-Hydroxyphenylacetate","AIC_sex",0.561051325565605,0.259604645532346,0.107650614986229,0.0324502050210657,0.000901421182279113,0.0129462563785357,0.234132118146947,0.33591808140889,0.236824991544838,0.0394953153216918,0.00247039874072137
"10","2-isoPropylmalic Acid","AIC_int",0.726473647037384,0.538630248014865,0.979895676174801,0.0108392039698703,0.0280237739649725,3.41544018157859e-06,0.290910239553315,0.260564104762486,0.985221196154011,0.0139253662112918,0.0395755586528237
"11","3-(4-Hydroxyphenyl)Propionate","AIC_sex",0.608528437448005,0.339686520996635,0.357006788355605,0.50276622489145,0.626804792650873,0.00618197324352351,0.198144400664899,0.179388731986736,0.485325639284404,0.513877080690156,0.640656832267467
"12","3-Aminoisobutyrate","AIC_int",0.766095943192006,0.605463036709407,0.23550468460439,6.04246333832121e-07,0.00170472115598973,0.00534900575882526,0.414627560441408,0.243629760301377,0.375589367688035,1.47086278630187e-06,0.00409575862153376
"13","3-Hydroxyisovaleric Acid","AIC_int",0.693534743415048,0.483070651543455,0.386144747488504,0.146819767102405,0.0017796600790733,0.00395636207741408,0.197610544451898,0.337732502534387,0.513933656729303,0.15977445243497,0.00422098864908411
"14","3-Hydroxypropionic Acid","AIC_int",0.854075781291932,0.753862763624945,0.000172630380385458,6.74091875809535e-15,6.26307710835948e-08,0.0331718569967825,0.521088335160902,0.266977132907643,0.00399207754641373,4.79642296249092e-14,7.72446176697669e-07
"15","3-Methyl-3-Hydroxyglutaric Acid","AIC_int",0.707719071231846,0.50699602376456,0.200082201273381,1.83520903076956e-07,0.0321247548868962,0.00663825835446183,0.469216930964503,0.190610953992044,0.349200068260146,4.78188268580802e-07,0.0430657945947521
"16","3HBA","AIC_sex",0.566803846853448,0.269307693487744,0.0744834797662657,0.340373420520848,0.530709648835359,0.0220736655342536,0.211632510539615,0.181991595814202,0.188510900967819,0.35575752992292,0.548498799075651
"17","4-Guanidinobutanoate","AIC_int",0.938888296316525,0.896920017883295,4.88844041395086e-08,7.70316102507182e-19,1.40775044638311e-07,0.0610804894005353,0.56191757007046,0.202575495924385,9.04361476580909e-06,1.42508478963829e-17,1.44685462544931e-06
"18","4-Hydroxybenzoic Acid","AIC_int",0.717138046834101,0.522883452491255,0.940158991966425,9.80842626669777e-09,0.0103060625951193,2.06311577630237e-05,0.496125414178387,0.199082550489749,0.966461585187186,3.07552349040523e-08,0.0171767709918656
"19","4-Pyridoxic Acid","AIC_int",0.750553833947882,0.579247430755464,0.0772698406317285,0.000203920883870309,0.00321659003501249,0.0138541474319448,0.333351053953999,0.265928849919336,0.188510900967819,0.000339868139783848,0.00668617029749786
"20","5'-Methylthioadenosine","AIC_int",0.808457922234562,0.676916977263116,0.542366478316379,2.9300485146872e-05,8.37086358489434e-10,0.00115176890059545,0.270817155624018,0.469747841191751,0.66448873171212,5.82859113136702e-05,1.4078270574595e-08
"21","5-Methylcytidine","AIC_geno",0.763935660925939,0.601819187103993,0.668392042541023,2.11002769071294e-07,0.195803770336061,0.000758884426420055,0.480710483827994,0.14696407587919,0.772828299188058,5.42159892752631e-07,0.216908368336355
"22","5,6-Dihydrouracil","AIC_int",0.695040071457321,0.485609759084637,3.80945812560473e-07,0.00794187262898846,0.000260106775627972,0.12387301106132,0.228742240746593,0.307674629777457,3.52374876618438e-05,0.0103468058898793,0.000874904608930452
"23","6-Methyladenosine","AIC_int",0.645631012576328,0.402269177839589,0.42379086845421,0.0963683560570271,0.0243218015118391,0.00359730155350401,0.227392973038586,0.276147047523537,0.540698694234681,0.108708206527744,0.0357105815848432
"24","7-Methylguanine","AIC_int",0.887011031635246,0.809416197938969,0.00155886420920262,7.21772286748127e-23,0.0451340281088927,0.01121511164091,0.46487859477049,0.0479723160296814,0.0205992770501775,3.96942345235857e-21,0.0571903780831859
"25","Acetylcarnitine","AIC_int",0.819696406370514,0.695873456528578,0.0290696802212204,0.00377119969427209,0.000582440428856439,0.0224637134750903,0.275594420713532,0.323747567463248,0.116909203064615,0.00528539351091165,0.00181787206384305
"26","Acetylcholine","AIC_null",0.457916039625691,0.0856415126216477,0.390148405779896,0.101462126688581,0.305725951596641,0.00474918396587208,0.257700594059065,0.205029619803584,0.515553250494862,0.113760566287197,0.326932375984847
"27","Adenine","AIC_sex_geno",0.825857518554345,0.706265693947088,0.9562820598677,1.95515114711252e-12,0.1885829786132,9.57364952334267e-06,0.62216712899781,0.114223045113862,0.977415365058146,1.00473045059949e-11,0.210167777370133
"28","Adenosine","AIC_int",0.794662790898128,0.653648081032987,0.260824822425006,6.16823896331209e-08,0.00432689643739545,0.00476397208931385,0.463318623412916,0.22201297489531,0.398781753294431,1.7289760730496e-07,0.00884125908705229
"29","Adenylosuccinate","AIC_sex",0.61358567809523,0.34821680642569,0.0900971036154237,0.284032465006661,0.160435863353087,0.0182223668156044,0.203477092270103,0.230934136786362,0.208199834015869,0.303734138879955,0.182089783560252
"30","Adipic Acid / 3-Methylglutaric Acid","AIC_int",0.72870522396592,0.542394353677456,0.0912391226457291,5.42066956766283e-10,3.65230317927374e-10,0.00722970700610452,0.385291199992631,0.392012096760849,0.208199834015869,2.13366780854813e-09,6.75676088165642e-09
"31","ADP","AIC_int",0.835879416019114,0.723170099309349,0.0287196988091809,0.000225012334742115,6.02814655638369e-11,0.0147252208161088,0.227178363456089,0.508091606845194,0.116909203064615,0.000368383025905232,1.39400889116373e-09
"32","Agmatine","AIC_int",0.584832966936585,0.299718257483396,0.212034345209452,0.00179215064321605,0.0253568090280416,0.00796115352084967,0.325916575266388,0.248374881532866,0.35660321694317,0.00271760548356532,0.0369370840172259
"33","Alanine","AIC_int",0.797195304269447,0.657919790334007,0.210322009249099,8.43085947299999e-05,0.00598699131552245,0.00658092210401225,0.338557864053088,0.238941079494919,0.35660321694317,0.000154426633911386,0.0113019734017516
"34","Allantoin","AIC_int",0.597032680015926,0.32029608677385,0.41331254084274,8.09607745346337e-05,0.042172868011475,0.00317880731304198,0.386621728709674,0.217290323778632,0.530991805943798,0.000149777432889072,0.0541804207091866
"35","Alpha-Ketoglutaric Acid","AIC_sex_geno",0.72574030711953,0.537393289117279,0.551143203390542,0.00494417700736433,0.104672032587964,0.00193551790088268,0.318648595885519,0.217666754260174,0.666590461907103,0.00674087978289439,0.125207273688746
"36","Aminolevulinate","AIC_int",0.878432433817631,0.794946273909257,0.0833802499282545,1.05974978920845e-17,8.39500388517295e-08,0.00593525183711564,0.587693078961428,0.237198534612016,0.197760849188809,1.50810546925818e-16,9.13573952209997e-07
"37","AMP","AIC_int",0.868586719766533,0.778339045389332,8.25744204110446e-05,0.0728307548062234,3.31739910669515e-13,0.0478249079298458,0.119095651733979,0.586821806369671,0.00218232396800618,0.0842105602446958,2.17658572660788e-11
"38","Anthranilic Acid","AIC_sex_geno",0.535724608088755,0.216884881113563,0.0375130154899422,0.120958394067439,0.819995478736191,0.0303344154680029,0.266633018207835,0.139624283213509,0.129532577734181,0.133995825763331,0.824451975903235
"39","Arabitol/Xylitol","AIC_geno",0.740545055850266,0.562365154446232,0.719825358039179,7.03882976912977e-07,0.236975684142097,0.00056909137790551,0.482246800398474,0.150730597137756,0.822022785415112,1.66946603498591e-06,0.255500271931945
"40","Arginine","AIC_int",0.785799816952929,0.638698486426627,0.282908626282131,0.00254789586119716,0.00123141121492446,0.00543442920345734,0.2919566714752,0.311117267102453,0.408891373923393,0.00380129624452803,0.00316404270501423
"41","Argininosuccinate","AIC_int",0.846051127615014,0.740327203206048,0.0125443098861138,3.35112789150996e-16,0.00989374181592364,0.0153181113525113,0.635900422851166,0.129246830386112,0.0773565776310351,3.44421477738524e-15,0.0166394748722352
"42","Asparagine","AIC_int",0.883411677862468,0.803344998804162,0.00125007962995105,9.52518028178121e-13,0.00024834412651091,0.0297104003290814,0.537637310294753,0.201922353072287,0.0177895947339188,5.18281868273389e-12,0.000850808581565156
"43","Aspartic Acid","AIC_sex_geno",0.589522201358874,0.307627809520993,0.281381453962611,0.00509090133450035,0.179649956646397,0.0065096129706134,0.325583402894012,0.201744603675814,0.408891373923393,0.00687457479476325,0.202653914509655
"44","Azelaic Acid","AIC_int",0.67007709494141,0.443503533636113,0.180428835491712,1.24702481864931e-06,6.04815056321141e-07,0.00599876228884561,0.349660064671914,0.363871454917753,0.325622667637329,2.88374489312652e-06,5.32813263901958e-06
"45","betaAlanine","AIC_sex_geno",0.625526300812374,0.368357615828101,0.00465597303911145,0.00241465966957009,0.201894536870278,0.0422478329990784,0.314912953679926,0.17754958144213,0.0416807730128492,0.00363180519406883,0.222324341196437
"46","Betaine","AIC_int",0.714089826026584,0.517741875225563,0.813055662901766,0.109618533884667,2.69068769281299e-05,0.000261163154066124,0.185445986418832,0.410592901203907,0.906116250824258,0.122165233546165,0.000138271450880668
"47","Biopterin","AIC_int",0.818143096993911,0.693253416616235,0.717485731684966,2.15367625127171e-07,0.000108822427752168,0.000461637020781137,0.409547277801408,0.282107018079862,0.822022785415112,5.45794666418173e-07,0.00044412098658301
"48","Cadaverine","AIC_int",0.715826167057213,0.520670643229034,0.240638207091581,0.357528483736247,0.00831582743408868,0.00782370645501432,0.172765634799129,0.313464395523013,0.380496310358482,0.371588592647223,0.014513472408551
"49","cAMP","AIC_int",0.728589779549999,0.542199628156625,0.145268430328665,4.39332625350451e-05,0.00688052193032355,0.00948388181371993,0.3759447842891,0.250348909289964,0.279944370945865,8.37902429792097e-05,0.0124586438223816
"50","Carnitine","AIC_int",0.863115510099386,0.76911049896282,0.0289340062453002,2.43756787024414e-13,0.00011043008315037,0.0127864563604413,0.550938703252093,0.208201524633949,0.116909203064615,1.45467759998441e-12,0.00044412098658301
"51","Carnosine","AIC_int",0.754463744345072,0.585842460341086,0.551288327955604,2.42733612704336e-09,0.0466644455009071,0.00129084619332086,0.524708473635425,0.164359791771072,0.666590461907103,8.16467606369131e-09,0.0587273633854953
"52","cGMP","AIC_int",0.732052523897222,0.548040401754351,0.108811482601682,0.000159376230525623,0.000643833551498801,0.0112025871935611,0.334228200406513,0.300707551105991,0.236824991544838,0.000268041842247638,0.00186108135980122
"53","Cholecalciferol","AIC_sex",0.577697882006426,0.28768317446867,0.220320826598102,0.0138646589863095,0.000589580128813962,0.00728567515727764,0.253010208891754,0.339295467780722,0.367201377663504,0.017568232277173,0.00181787206384305
"54","Cholesteryl Sulfate","AIC_null",0.464693451232045,0.0970732912347744,0.270644431611011,0.0556274754561068,0.588149890299862,0.00796461609975071,0.287911972217473,0.166435890494921,0.402241872856737,0.0655482991043297,0.604487387252636
"55","Choline","AIC_int",0.880772107762851,0.798892711889145,0.0334195053199157,1.02532853712149e-08,0.000978349268863925,0.0151461382563577,0.440470043268594,0.220710445104322,0.122502885130162,3.16142965612459e-08,0.00258563735342609
"56","Citraconic Acid","AIC_int",0.585826354308458,0.301393850640773,0.96871685613957,0.608677766813861,0.029822289330589,9.86323477923017e-06,0.161095618687621,0.308252578632024,0.984684716405606,0.615329982844614,0.0405670847511689
"57","Citrulline","AIC_int",0.758418629197447,0.592513350453525,0.00488718042476291,8.74609620861498e-08,0.0286726423406667,0.0295255218405513,0.432427828308079,0.171574247601806,0.0416807730128492,2.41496686357279e-07,0.0398829987445364
"58","Creatine","AIC_null",0.537440685359055,0.219779469280334,0.525610013550599,0.00331429809264285,0.0195854818897425,0.0020544462830225,0.309762953005481,0.257415570356154,0.648252350045739,0.00475306315611571,0.029944745038036
"59","Cystathionine","AIC_int",0.809525166116235,0.678717147665938,0.006800806795729,3.114627768519e-06,4.56003889976654e-07,0.0252507663371628,0.330820942926104,0.368258827597816,0.0524228857170777,7.02690411190262e-06,4.44003787608847e-06
"60","Cysteinyl-Glycine (Cys-Gly)","AIC_int",0.836527726363715,0.724263634830362,0.319044478892783,2.88630283408595e-14,0.000178050366853741,0.00247606871866508,0.568184033865581,0.191628114155964,0.452218611259576,1.90702151537822e-13,0.000645868977802787
"61","Cystine","AIC_int",0.737655250065119,0.55749078324237,0.406010958392665,0.00265788087310916,0.00207630478959033,0.00330218943272962,0.29596406376298,0.302604972015627,0.525258932186314,0.00390244413908885,0.00486223273511659
"62","Cytidine","AIC_int",0.76507363956394,0.603738669143995,0.322312465362692,4.35030904142166e-05,1.06598567007607e-06,0.00357799161380126,0.309485923370987,0.387245413223684,0.452218611259576,8.37902429792097e-05,8.6367517679646e-06
"63","D-Leucic Acid","AIC_sex",0.558535900523703,0.255361759919499,0.435260282040106,0.0591808498817222,0.00692359815657678,0.00332755872258506,0.238510496017939,0.308711302991064,0.547776545424623,0.0688582215604943,0.0124586438223816
"64","DCDP","AIC_int",0.66381284752292,0.43293733317119,0.926005329594628,0.0451153888463779,0.00434894365903653,4.60353506844883e-05,0.242898689410675,0.316739018150137,0.966461585187186,0.0541970580297397,0.00884125908705229
"65","Deoxycarnitine","AIC_int",0.891287474501996,0.816629475063608,2.13314652595949e-05,2.09807735407575e-15,8.41588870705945e-05,0.0458436724522888,0.571992477238966,0.185033583025459,0.000807699267659289,1.68758395871311e-14,0.000353849866092272
"66","Deoxyguanosine","AIC_int",0.790200669103518,0.646121610536054,0.137460238157427,0.00155994641709711,0.000236566609495136,0.00985771648598032,0.287221153169466,0.333800537523543,0.27288571368847,0.00238504204266914,0.00082575137276604
"67","DHAP/D-GA3P","AIC_sex_geno",0.645953116645736,0.40281248590847,0.257428530042185,0.00372986843765323,0.722472839494703,0.00755568340612852,0.352029318601904,0.132840671273235,0.396868983815036,0.00526737145775456,0.734381732453407
"68","Dimethylarginine (A/SDMA)","AIC_int",0.902552614402956,0.835630915860408,0.277624719702976,1.59750941685e-20,0.0207712625302936,0.00226248668020242,0.71128820064081,0.0957700234402044,0.40762359638929,4.22198917310356e-19,0.0312413298219864
"69","Dimethylglycine","AIC_int",0.846891192039244,0.741744179343303,0.0502516731286485,1.86510394604816e-15,0.00257250147889164,0.00974149803875317,0.628247618568656,0.154753270845741,0.149944508529032,1.56838286372232e-14,0.00567082477250043
"70","Ergocalciferol","AIC_sex",0.477988559277161,0.119498774684367,0.0966472695192691,0.678886166151849,0.380926016619479,0.0198750470201313,0.167536756971101,0.213022326868942,0.215418612783913,0.682575764880935,0.405007546405768
"71","Erythrose-4-Phosphate","AIC_int",0.866837897769636,0.775389225153603,0.0104131280422009,7.77057355657433e-09,0.00130209683689738,0.0217768511216835,0.436847522213638,0.210931618010302,0.0708023637199885,2.52202825958991e-08,0.00329983444967145
"72","Ethanolamine","AIC_int",0.748096805659468,0.575103045690668,0.00105620378582734,0.0145240316043055,0.000609547112536921,0.0517839973902143,0.236782445451175,0.318348683356794,0.0162831416981715,0.0182785431754865,0.00181880993256984
"73","FAD","AIC_int",0.850496480023785,0.747825387991927,0.329961255492963,1.54467286599617e-10,0.000690162863130678,0.00297605023270773,0.509208719280675,0.217375867923467,0.455543524374613,6.6456855862626e-10,0.00196430968737193
"74","Fructose","AIC_int",0.718601209117385,0.525351437065468,0.137661007873311,2.49707475261548e-05,0.017424697933122,0.00987782516317667,0.390846505652594,0.226857804229967,0.27288571368847,5.02129162210722e-05,0.0273183823527761
"75","G1P/F1P/F6P","AIC_int",0.872394215148931,0.784761326757232,0.0119138809536857,1.78393998880595e-09,0.00301946610314172,0.0205386267056204,0.458328106061121,0.191947735216007,0.0760023440148914,6.4711548613549e-09,0.00642070378254274
"76","G6P","AIC_int",0.871932551331465,0.783982616703676,0.00518193394213801,2.36713630897836e-09,0.00114724795054598,0.0251429766167712,0.444128632611772,0.205132618092654,0.0416807730128492,8.10963365112955e-09,0.00298930804015502
"77","gamma-Aminobutyrate","AIC_int",0.699508676565436,0.493147165291096,0.26534893852513,0.00613489678039401,0.00158298678103084,0.00606219103255745,0.278277725467738,0.315544880248103,0.399910073744382,0.00816515039117188,0.00385332308540402
"78","Glucoronate","AIC_int",0.821925637887868,0.699633606075922,0.0236273804370802,6.40451303020496e-12,0.000747516445028647,0.014791455264092,0.521567760924268,0.193918176057175,0.112610940854354,3.20225651510248e-11,0.00209531124742878
"79","Glucosamine","AIC_int",0.804792586270478,0.670734482865866,0.038509685272324,0.00495545757012777,1.68536001612895e-05,0.0185556378273877,0.247399470241508,0.382556145842611,0.129532577734181,0.00674087978289439,8.90833151382447e-05
"80","Glucose","AIC_int",0.86219355730056,0.767555397856367,0.0303331986329811,3.65621827466751e-05,8.38153702297253e-05,0.0187029731370388,0.334120614517451,0.315975714795937,0.116909203064615,7.19574873205839e-05,0.000353849866092272
"81","Glutamic acid","AIC_int",0.705320444831638,0.502950147908787,0.0237396037476746,0.00260827428510206,0.000968250914093334,0.0242085936168135,0.285668582536976,0.311252663714555,0.112610940854354,0.00386024594195105,0.00258563735342609
"82","Glutamine","AIC_sex_geno",0.770269409588888,0.612502618583667,0.0707126751530954,1.6244655007062e-09,0.0896233098471732,0.0120442248174871,0.532399835960384,0.148516983430976,0.188510900967819,6.01052235261293e-09,0.109081002116625
"83","Glutaric Acid","AIC_int",0.640936191823779,0.394350203076254,0.23393552675473,0.000630820473901382,3.73170521699757e-06,0.00561500313763571,0.275931386186545,0.390176152925601,0.375589367688035,0.000988998200608099,2.6552517890175e-05
"84","Glyceraldehyde","AIC_int",0.863852759023237,0.770354051364497,0.359403311253856,0.00155259765159123,2.43689709786466e-08,0.00300264465510601,0.231789764309284,0.461378392806596,0.485325639284404,0.00238504204266914,3.22018545074973e-07
"85","Glycerol-3-P","AIC_geno",0.691546105927097,0.479716323250526,0.338735544928975,9.76695479411325e-05,0.429232841184491,0.00476100228453578,0.417346751450587,0.149763508169872,0.464193154161928,0.000173739099702976,0.450681393676447
"86","Glycerophosphocholine","AIC_int",0.687379255069243,0.472687900116796,0.0922831696718987,0.318136692977634,0.000351502636566179,0.0150219075587036,0.165076244144889,0.382911495832821,0.208199834015869,0.336315932576356,0.00114084189060953
"87","Glycine","AIC_sex_geno",0.673200304010988,0.448771597126968,0.432404251296011,6.10998601597571e-05,0.107431051660041,0.00298113260059837,0.401461903674898,0.19208478312786,0.547776545424623,0.000115341572750562,0.127402208699408
"88","GMP","AIC_int",0.858355652698173,0.761081823828244,0.00413774687396332,0.00341145987115715,1.43545329455206e-12,0.0246077297680018,0.17284905464867,0.56265946867973,0.0416807730128492,0.00485476981664672,6.63897148730327e-11
"89","Guanine","AIC_int",0.789554070565462,0.645030962399574,0.247575839632085,0.000986657907367541,4.45926381467766e-05,0.00563753464129539,0.28324662805941,0.35591689251276,0.388148562135048,0.00153387994002517,0.000211529180952658
"90","Guanosine","AIC_int",0.856782281701071,0.75842794503795,0.0279130084883789,5.41066251259983e-16,0.0369890602121445,0.0120410206393575,0.639310460949359,0.113080716017223,0.116909203064615,5.26827665700509e-15,0.0488784009946195
"91","Histamine","AIC_sex_geno",0.700437417631948,0.494713716487624,0.620868799298958,1.39973066829527e-05,0.214700800268834,0.00116931023280693,0.437532183792317,0.166426222855854,0.73328082776915,2.92215059101054e-05,0.235027503252866
"92","Histidine","AIC_int",0.895228959998933,0.823277763853622,0.632112179983745,4.34542987515604e-19,1.12044347260081e-06,0.000436459181106827,0.638553609311976,0.202235399061476,0.740131349980968,8.93227252115408e-18,8.6367517679646e-06
"93","Homoarginine","AIC_int",0.904845573407271,0.839498557554432,0.665243627561028,8.81963580715467e-19,1.33239432405638e-05,0.000371598707076405,0.650609074200032,0.182321537828516,0.772828299188058,1.48330238574874e-17,7.24979264560091e-05
"94","Homocitrulline","AIC_sex_geno",0.622718819507638,0.363622105193607,0.325507520767049,0.00327249377328181,0.77320484515982,0.00584689915105862,0.366580292984484,0.129791087168228,0.452773619112061,0.00472977615669637,0.78165517133643
"95","Hydrocinnamic Acid","AIC_sex",0.538176869464166,0.221021225602207,0.128505240058934,0.145664360491673,0.0262606364030048,0.0136217796778412,0.219407618199287,0.283936894954712,0.267117633830369,0.159455069177276,0.0378163890973312
"96","Hypotaurine","AIC_int",0.796018355499845,0.655934575541907,0.181292620360243,1.59592666640139e-11,0.00613766011838874,0.00562044578527009,0.558665832813305,0.178516816610063,0.325622667637329,7.76964298116468e-11,0.0114693648676961
"97","Hypoxanthine","AIC_int",0.844264827237888,0.737314166425354,0.0138625699830173,1.41400339641799e-09,0.00030961246344906,0.0194578219675233,0.458969681604329,0.229803068957848,0.0778600895954496,5.33858425178221e-09,0.00102282688817993
"98","Imidazoleacetic Acid","AIC_int",0.670952335234772,0.444979842564676,0.0493371541854365,0.00602785053314259,0.0474983088735962,0.0197146107139901,0.286478555081452,0.225217581867957,0.149629074168947,0.00808081412051724,0.0593728860919953
"99","IMP","AIC_int",0.852092207142267,0.750516975902619,0.0668654812409415,0.0102936878967052,3.52959847558035e-13,0.00981415181422508,0.155733321284479,0.597538126737497,0.184628567605585,0.0133170088174158,2.17658572660788e-11
"100","Indole-2-Carboxylic Acid","AIC_sex_geno",0.698466929778667,0.491390002036306,0.0761476854392105,0.0491700115757316,0.104100996569031,0.0182721629742217,0.256313739254489,0.22841861139133,0.188510900967819,0.0583105906507073,0.125207273688746
"101","Indole-3-Carboxylic Acid","AIC_sex_geno",0.705707599146437,0.503603179283147,0.0269855482960286,0.0188207194129576,0.0782977229777488,0.0268813795548098,0.271182567658844,0.223924377416881,0.116909203064615,0.0234246317197387,0.0959276738469108
"102","Inosine","AIC_int",0.669734753631198,0.442926090462262,0.234910366955629,0.000103221691248365,0.0183634546844156,0.00660999017270694,0.373291664806403,0.236833355781021,0.375589367688035,0.000181866789342358,0.0285482278707301
"103","iso-Leucine /allo-isoLeucine","AIC_int",0.720290146459262,0.52820024703972,0.0774423160732662,0.00012184958551546,0.031091388524038,0.014879579765907,0.371971208086757,0.223909748948331,0.188510900967819,0.000212662012456227,0.0419847217295404
"104","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","AIC_sex_geno",0.578823338564292,0.289581534927722,0.185350194800502,0.032310847327241,0.237546198769159,0.0106785899135809,0.286565462115609,0.20529370818325,0.329709481135509,0.0394953153216918,0.255500271931945
"105","Kynurenic Acid","AIC_int",0.927225010998466,0.877247006503437,0.130840547633881,8.58253719428881e-23,0.0200196079661108,0.00399915598246933,0.758068223506804,0.087213476669488,0.268950014580756,3.96942345235857e-21,0.0303576022436927
