sex,genotype,sampleID,massn5
male,381,408,2.56
male,381,408,2.79
male,440,409,2.91
male,440,409,3
male,440,409,3.08
male,853,416,3.28
female,913,418,4.71
female,913,418,4.9
male,913,420,3.53
male,913,420,3.71
male,309,423,3.11
male,309,423,3.17
male,309,426,2.94
male,309,426,3.2
male,309,426,3.24
female,309,430,4.53
female,309,430,4.86
female,309,433,4.41
female,309,433,4.41
female,309,433,4.47
male,309,435,3.3
male,309,435,3.37
male,309,435,3.39
female,309,439,4.46
female,309,439,4.55
female,309,439,4.73
female,320,443,4.34
female,320,443,4.38
female,358,445,3.63
female,358,445,3.78
female,303,455,4.55
female,303,455,4.63
female,303,455,5.03
male,303,457,3.17
male,303,457,3.3
male,320,467,2.4
male,320,467,2.9
male,502,468,2.6
male,502,468,2.8
male,502,468,2.81
female,531,469,4.59
female,531,469,5.25
male,913,479,3.16
male,913,479,3.56
male,913,482,4.17
female,913,486,4.78
female,913,486,5.07
male,303,490,3.27
male,303,490,3.3
male,303,490,3.54
male,303,493,3.28
male,303,493,3.28
male,303,493,3.31
female,913,496,5.02
female,913,496,5.18
female,913,496,5.25
female,303,501,4.46
female,303,501,4.72
female,303,501,4.76
female,303,501,5.61
female,303,504,3.9
female,303,504,4.78
female,303,504,5.08
male,320,511,3.09
male,320,511,3.21
female,320,512,4.58
female,320,512,4.67
female,320,512,4.86
female,320,515,4.24
female,320,515,4.3
female,320,515,4.99
male,320,521,2.9
male,320,521,3.18
male,320,521,3.2
male,306,528,3.08
male,381,531,2.63
female,381,535,3.54
female,381,535,3.78
female,319,539,4.06
female,319,539,4.12
female,319,539,4.17
male,381,544,2.82
male,381,544,2.85
male,319,549,2.88
male,319,549,2.95
female,57,552,2.98
female,57,552,3.13
female,57,552,3.26
male,57,553,2.36
male,57,553,2.37
female,235,559,3.9
female,235,559,4.06
female,235,559,4.22
female,235,561,4.03
female,235,561,4.43
female,235,561,4.48
male,235,564,2.87
male,235,564,3.21
male,235,564,3.24
male,853,571,3.24
female,358,584,3.23
female,358,584,4.01
male,358,586,2.71
male,566,587,2.62
female,566,588,3.35
female,566,588,3.82
female,373,591,4.11
female,373,591,4.32
male,373,592,3.11
male,373,592,3.27
male,513,602,2.8
male,513,602,2.96
female,535,604,4.34
female,535,604,4.98
female,440,611,4.73
female,440,611,4.9
male,440,614,3.24
female,177,621,3.83
female,138,634,3.65
female,535,655,4.79
male,440,658,2.8
male,440,658,2.89
male,440,658,3.01
male,440,658,3.3
female,138,662,3.3
female,138,662,4.22
male,138,663,2.72
male,138,663,3.02
male,57,672,2.41
female,319,673,3.99
female,319,673,4.16
male,319,674,2.9
male,319,674,2.97
female,440,677,4.04
female,440,677,4.23
female,440,677,4.75
male,406,679,3.06
male,208,681,2.58
male,208,681,2.87
female,57,683,3.14
female,57,683,3.21
female,57,683,3.32
female,373,688,3.92
female,373,688,3.95
female,373,688,4.58
male,373,690,2.87
male,373,690,3.07
male,373,690,3.21
female,83,691,3.28
female,83,691,3.58
male,502,699,2.75
female,853,701,4.33
female,853,701,4.51
female,853,701,4.53
male,776,702,3
female,776,704,3.82
male,853,707,3.24
male,853,707,3.33
female,502,708,3.67
female,502,708,3.75
female,502,708,3.93
female,502,708,4.09
female,566,715,4.08
female,566,715,4.33
male,306,718,3.07
male,306,718,3.44
female,306,721,4.22
female,306,721,4.71
female,306,721,4.76
female,513,725,3.9
female,513,725,4.18
female,513,725,4.23
male,531,734,3.7
female,177,735,3.56
female,177,735,3.87
female,177,735,3.93
male,177,737,2.47
male,177,737,2.55
male,177,737,2.75
male,235,741,3.09
male,235,741,3.12
male,235,741,3.13
female,381,749,3.37
female,381,749,3.45
male,566,781,2.5
male,566,781,2.62
male,566,781,2.72
female,566,783,3.44
female,566,783,3.5
female,566,783,3.56
female,406,788,4.25
female,406,788,4.72
female,406,788,4.77
male,324,792,2.46
male,324,792,2.64
female,324,793,2.95
female,324,793,3.09
female,83,796,3.16
female,83,796,3.31
female,83,796,3.47
female,531,841,4.78
female,531,841,5.27
female,319,847,3.69
female,319,847,3.83
female,319,847,4.17
male,83,852,2.63
male,83,852,2.76
male,776,854,2.35
male,776,854,2.54
female,83,860,3.19
female,83,860,3.43
male,208,862,2.41
male,208,862,2.69
male,513,866,2.84
female,513,868,4.43
male,879,870,2.83
female,879,871,3.68
female,513,873,3.96
female,138,874,3.78
female,138,874,3.95
male,513,877,2.46
male,513,877,2.61
male,177,882,2.23
male,177,882,2.51
female,177,883,3.38
female,177,883,3.42
female,177,883,3.63
female,324,890,2.81
male,324,891,2.27
male,324,891,2.45
male,535,896,3.14
male,406,903,2.94
female,406,906,4.01
female,406,906,4.09
female,406,906,4.4
male,83,909,2.46
male,83,909,2.51
female,31,917,3.89
female,31,917,3.97
